method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxonnxruntime1,,10,1,True,,100,1,2.832012251019478e-05,4.910677671432495e-05,2.842908725142479e-05,3.7155114114284515e-05,2.93627567589283e-05,2.832012251019478e-05,3.4347778083391623e-05,100,2.8753885999321938e-05,0,4.0,12.0,623.0,
predict_proba,skl,1.0,10,1,True,,100,1,7.186597213149071e-05,9.09026712179184e-05,7.19861127436161e-05,7.996801286935806e-05,7.31222378090024e-05,7.186597213149071e-05,7.800670655002859e-05,100,7.240544073283672e-05,0,,,,
predict_proba,onxpython_compiled,,10,1,True,,100,1,4.248227924108505e-05,5.8406032621860504e-05,4.2679719626903534e-05,4.8732850700616837e-05,4.349977243691683e-05,4.248227924108505e-05,4.718200428837787e-05,100,4.303082823753357e-05,0,4.0,12.0,623.0,
predict_proba,onxonnxruntime1,,10,1,True,,100,1,2.7398113161325455e-05,6.960099563002586e-05,2.75331549346447e-05,3.586709499359131e-05,2.96541303396225e-05,2.7398113161325455e-05,3.8543936188402e-05,100,2.8243521228432655e-05,0,4.0,12.0,623.0,
predict,py,,10,1,True,,100,1,1.010112464427948e-05,1.8872786313295364e-05,1.0186806321144104e-05,1.1811964213848114e-05,1.0538143105804921e-05,1.010112464427948e-05,1.225525784800465e-05,100,1.0399846360087395e-05,0,,,,
predict_proba,py,,10,1,True,,100,1,3.470759838819504e-05,4.850374534726143e-05,3.475090488791466e-05,3.947177901864052e-05,3.547918051481247e-05,3.470759838819504e-05,3.8639051461845216e-05,100,3.5101547837257385e-05,0,,,,
predict,skl,1.0,100,1,True,,100,1,5.160504952073097e-05,7.55121000111103e-05,5.179503932595253e-05,7.184874266386032e-05,5.336707457900047e-05,5.160504952073097e-05,6.074184653792196e-05,100,5.232496187090874e-05,0,,,,
predict,onxpython_compiled,,100,1,True,,100,1,4.816334694623947e-05,7.910607382655144e-05,4.851538687944412e-05,5.674222484230995e-05,4.955959040671587e-05,4.816334694623947e-05,5.611577853887414e-05,100,4.885881207883358e-05,0,4.0,12.0,623.0,
predict,onxonnxruntime1,,100,1,True,,100,1,5.9719663113355637e-05,8.744699880480766e-05,6.1017926782369614e-05,6.835814565420151e-05,6.274220068007708e-05,5.9719663113355637e-05,6.845526451639304e-05,100,6.203912198543549e-05,0,4.0,12.0,623.0,
predict_proba,skl,1.0,100,1,True,,100,1,7.377704605460167e-05,9.505683556199074e-05,7.41281546652317e-05,8.463812991976738e-05,7.600804790854454e-05,7.377704605460167e-05,8.163266872365689e-05,100,7.500499486923218e-05,0,,,,
