method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,onxonnxruntime1,,,100,100,3,10,1,6.321980617940426e-05,7.557100616395473e-05,6.471690721809864e-05,6.735511124134064e-05,6.624329835176468e-05,6.321980617940426e-05,7.296518659373562e-05,10,6.499351002275944e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,1000,100,3,10,1,0.0001414360012859106,0.0002761790528893471,0.000152096850797534,0.00015974394045770168,0.00016619719099253416,0.0001414360012859106,0.0002392999774106579,10,0.00015711807645857334,0,,,
predict,onxpython,,,1000,100,3,10,1,9.682192467153072e-05,0.0001825271174311638,9.886804036796093e-05,0.00010315701365470886,0.00010869093239307404,9.682192467153072e-05,0.0001572250350338008,10,0.00010065198875963688,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,1000,100,3,10,1,0.0003536408767104149,0.0004634181968867779,0.00035559595562517643,0.00037665897980332375,0.00037357346154749395,0.0003536408767104149,0.00043664472111057563,10,0.0003558275057002902,0,1.0,11.0,1089.0
predict,skl,1.0,2041.0,1,100,10,10,1,4.6871136873960495e-05,0.00011374312452971935,4.8084184527397156e-05,5.1170121878385544e-05,5.570042412728071e-05,4.6871136873960495e-05,9.392104442965352e-05,10,4.874600563198328e-05,0,,,
predict,onxpython,,,1,100,10,10,1,1.688813790678978e-05,8.517899550497532e-05,1.7951009795069695e-05,2.2717053070664406e-05,2.6046810671687125e-05,1.688813790678978e-05,6.498752117993696e-05,10,1.849199179559946e-05,0,1.0,11.0,79838.0
predict,onxonnxruntime1,,,1,100,10,10,1,2.3289117962121964e-05,6.567197851836681e-05,2.357899211347103e-05,2.52588652074337e-05,2.862678375095129e-05,2.3289117962121964e-05,5.304334472516392e-05,10,2.3911590687930584e-05,0,1.0,11.0,79838.0
predict,skl,1.0,2041.0,10,100,10,10,1,4.9043912440538406e-05,6.991508416831493e-05,5.054287612438202e-05,5.44767826795578e-05,5.349332932382822e-05,4.9043912440538406e-05,6.528932134283658e-05,10,5.078141111880541e-05,0,,,
predict,onxpython,,,10,100,10,10,1,1.968303695321083e-05,6.599398329854012e-05,1.9840896129608154e-05,2.1692831069231033e-05,2.518447581678629e-05,1.968303695321083e-05,5.195672150660887e-05,10,2.0070001482963562e-05,0,1.0,11.0,79838.0
predict,onxonnxruntime1,,,10,100,10,10,1,3.002304583787918e-05,4.5261112973093987e-05,3.073900006711483e-05,3.272388130426407e-05,3.264849074184895e-05,3.002304583787918e-05,4.123953948926797e-05,10,3.094191197305918e-05,0,1.0,11.0,79838.0
