N,alphas,count,dim,fit_priors,lib,lower,max,max3,mean,median,method,min,min3,ort_nodes,ort_size,repeat,skl_nb_nase_estimators,upper
1,0.0,100,100,True,skl,5.5882963351905346e-05,0.0001326201017946005,7.437798194587231e-05,5.878939758986235e-05,5.6246411986649036e-05,predict,5.5882963351905346e-05,5.597504787147045e-05,,,100,1.0,7.589989831372854e-05
1,0.0,100,100,True,ort,3.741099499166012e-05,9.082991164177656e-05,4.7773937694728374e-05,3.9657060988247394e-05,3.785506123676896e-05,predict,3.741099499166012e-05,3.752904012799263e-05,13.0,2273.0,100,,5.200481729955356e-05
1,0.0,100,100,True,skl,0.00011257396545261145,0.00015902798622846603,0.00013695296365767717,0.00011723774136044085,0.00011348450789228082,predict_proba,0.00011257396545261145,0.00011275103315711021,,,100,1.0,0.0001320317735278659
1,0.0,100,100,True,ort,3.8834987208247185e-05,5.6668068282306194e-05,5.367398262023926e-05,4.0669618174433707e-05,3.923801705241203e-05,predict_proba,3.8834987208247185e-05,3.888306673616171e-05,13.0,2273.0,100,,4.807822833261549e-05
10,0.0,100,100,True,skl,5.9628975577652454e-05,9.000906720757484e-05,7.85159645602107e-05,6.177392089739441e-05,6.004399619996548e-05,predict,5.9628975577652454e-05,5.9694983065128326e-05,,,100,1.0,7.183658071793248e-05
10,0.0,100,100,True,ort,4.396308213472366e-05,7.436098530888557e-05,5.951104685664177e-05,4.594140104018152e-05,4.43345052190125e-05,predict,4.396308213472366e-05,4.3989974074065685e-05,13.0,2273.0,100,,5.476578212649036e-05
10,0.0,100,100,True,skl,0.00011978903785347939,0.0001497879857197404,0.00014587503392249346,0.00012480573146604002,0.00012109451927244663,predict_proba,0.00011978903785347939,0.00012004992458969355,,,100,1.0,0.00013917365524587823
10,0.0,100,100,True,ort,5.052797496318817e-05,6.864196620881557e-05,6.128509994596243e-05,5.235731601715088e-05,5.092046922072768e-05,predict_proba,5.052797496318817e-05,5.063007120043039e-05,13.0,2273.0,100,,5.934509204573291e-05
1,0.0,100,100,False,skl,5.592091474682093e-05,0.00012191303540021181,7.930095307528973e-05,5.8627253165468576e-05,5.629652878269553e-05,predict,5.592091474682093e-05,5.596899427473545e-05,,,100,1.0,7.403501606261716e-05
1,0.0,100,100,False,ort,3.749097231775522e-05,9.47269145399332e-05,4.735100083053112e-05,3.945136326365173e-05,3.7866469938308e-05,predict,3.749097231775522e-05,3.751600161194801e-05,13.0,2273.0,100,,5.180290738586503e-05
1,0.0,100,100,False,skl,0.00011239806190133095,0.00015902495943009853,0.00013643805868923664,0.00011739891371689737,0.00011365045793354511,predict_proba,0.00011239806190133095,0.00011276197619736195,,,100,1.0,0.00013177359938971244
1,0.0,100,100,False,ort,3.916595596820116e-05,7.575005292892456e-05,4.875089507550001e-05,4.094568779692054e-05,3.9733946323394775e-05,predict_proba,3.916595596820116e-05,3.9242906495928764e-05,13.0,2273.0,100,,4.9244739311345025e-05
10,0.0,100,100,False,skl,5.970196798443794e-05,8.976703975349665e-05,7.152301259338856e-05,6.193119916133582e-05,6.022147135809064e-05,predict,5.970196798443794e-05,5.979591514915228e-05,,,100,1.0,7.029675569549483e-05
10,0.0,100,100,False,ort,4.366703797131777e-05,8.008698932826519e-05,6.0537015087902546e-05,4.568104981444776e-05,4.4087006244808435e-05,predict,4.366703797131777e-05,4.3745036236941814e-05,13.0,2273.0,100,,5.521649644375867e-05
10,0.0,100,100,False,skl,0.00011992792133241892,0.00015502492897212505,0.00013965799007564783,0.00012450509471818806,0.00012131949188187718,predict_proba,0.00011992792133241892,0.0001200380502268672,,,100,1.0,0.0001367742523256637
10,0.0,100,100,False,ort,5.021202377974987e-05,7.078505586832762e-05,6.803800351917744e-05,5.2002419251948596e-05,5.0664006266742945e-05,predict_proba,5.021202377974987e-05,5.026592407375574e-05,13.0,2273.0,100,,5.958643942587748e-05
1,0.0,100,200,True,skl,5.751894786953926e-05,0.0001410620752722025,6.592099089175463e-05,5.9289945056661963e-05,5.794654134660959e-05,predict,5.751894786953926e-05,5.757599137723446e-05,,,100,1.0,7.578113184276942e-05
1,0.0,100,200,True,ort,3.854301758110523e-05,0.00010660907719284296,4.4062966480851173e-05,3.996423562057316e-05,3.912503598257899e-05,predict,3.854301758110523e-05,3.878201823681593e-05,13.0,3076.0,100,,5.320385063726003e-05
1,0.0,100,200,True,skl,0.00011613895185291767,0.00016409798990935087,0.00013223104178905487,0.00011868560803122818,0.0001171500189229846,predict_proba,0.00011613895185291767,0.00011620402801781893,,,100,1.0,0.0001297133303002096
1,0.0,100,200,True,ort,4.053395241498947e-05,5.806598346680403e-05,4.6171946451067924e-05,4.1342518525198105e-05,4.09779604524374e-05,predict_proba,4.053395241498947e-05,4.0662940591573715e-05,13.0,3076.0,100,,4.5019258374907776e-05
