lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
npy,1000,10,50,20,2,0.003990916069597006,0.004061938729137182,0.004017531871795654,0.004045381676405668,0.004028845857828855,0.003998398286267097,0.004059293429390614,20,0.004029551986604929,0
ort,10000,10,50,20,2,0.0846680928952992,0.08633688325062394,0.08470086567103863,0.08518148306757212,0.08497999035753309,0.0846680928952992,0.08575208925866136,20,0.08482367545366287,0
npy,10000,10,50,20,2,0.03413514932617545,0.035709917079657316,0.03417358174920082,0.034879402723163366,0.03442179667763412,0.03413514932617545,0.035203544503181965,20,0.03426455846056342,0
ort,1,10,100,20,2,9.591691195964813e-05,0.0008860602974891663,9.606126695871353e-05,9.722402319312096e-05,0.00013597714714705945,9.591691195964813e-05,0.0004732579005676678,20,9.625568054616451e-05,0
npy,1,10,100,20,2,0.0006851539947092533,0.0007648118771612644,0.0006918041035532951,0.0007181568071246147,0.0007039122050628066,0.0006851539947092533,0.0007425730015955611,20,0.0006963438354432583,0
ort,10,10,100,20,2,0.0002466496080160141,0.00031372904777526855,0.00024698488414287567,0.00025563081726431847,0.0002538684289902449,0.0002466496080160141,0.00029012169263596877,20,0.00024718442000448704,0
npy,10,10,100,20,2,0.0008108839392662048,0.0009479452855885029,0.0008325478993356228,0.0008859890513122082,0.0008544074604287744,0.0008108839392662048,0.0009174896864415259,20,0.000837620347738266,0
ort,100,10,100,20,2,0.0017660502344369888,0.0019983677193522453,0.0017663752660155296,0.0018212269060313702,0.0017980221658945084,0.0017660502344369888,0.0019217954697752194,20,0.0017728905659168959,0
npy,100,10,100,20,2,0.0015196497552096844,0.00158351706340909,0.001525860745459795,0.0015665902756154537,0.0015434890985488892,0.0015196497552096844,0.001577776068304674,20,0.0015381760895252228,0
ort,1000,10,100,20,2,0.016935404390096664,0.017073285300284624,0.016946134623140097,0.017024307046085596,0.01697645995300263,0.016935404390096664,0.01705398625425321,20,0.016961666056886315,0
npy,1000,10,100,20,2,0.007986506912857294,0.008268019184470177,0.008032183162868023,0.00809521833434701,0.00806001799646765,0.007986506912857294,0.00816834291284824,20,0.008051407989114523,0
ort,10000,10,100,20,2,0.16571669885888696,0.17035294184461236,0.16653185710310936,0.16893399134278297,0.1678286483278498,0.16571669885888696,0.17001403444579397,20,0.1679043665062636,0
npy,10000,10,100,20,2,0.06804369203746319,0.06939007621258497,0.06805766699835658,0.06830769125372171,0.06824437964241951,0.06804369203746319,0.06890894722405741,20,0.06814300827682018,0
ort,1,10,150,20,2,0.0001315888948738575,0.0009343540295958519,0.000131889246404171,0.00013368390500545502,0.00017373280134052037,0.0001315888948738575,0.0005159474698397531,20,0.00013222801499068737,0
npy,1,10,150,20,2,0.0010287901386618614,0.0010769260115921497,0.001042380928993225,0.0010700267739593983,0.0010528267128393054,0.0010287901386618614,0.0010769260115921497,20,0.0010513060260564089,0
ort,10,10,150,20,2,0.000357569195330143,0.0004478590562939644,0.00035774195566773415,0.0003598099574446678,0.00036280406638979914,0.000357569195330143,0.00040113005335132334,20,0.00035794940777122974,0
npy,10,10,150,20,2,0.001226963009685278,0.0012603150680661201,0.0012363111600279808,0.0012510516680777073,0.0012437654193490743,0.001226963009685278,0.0012603150680661201,20,0.001243814593181014,0
